# Xa Ya Xb Yb
2.945947287422134853e+00 -2.228171539368907494e-01 1.627554172841401936e+01 2.158124438886395158e-01
2.769573646378947540e+00 -6.687063150399297218e-04 1.625996674426261634e+01 4.990349957878710274e-01
2.812306090651463641e+00 -8.792921427595098982e-02 1.624441814851663324e+01 4.031251463800658019e-01
3.001832892996835866e+00 2.413104815615439436e-01 1.658935176472778750e+01 5.623105305393050202e-01
2.788271865271148897e+00 1.411655330201875003e-01 1.635718706016658430e+01 6.039863417205260099e-01
2.836025716369180660e+00 6.285014021457191458e-02 1.635090562627946653e+01 5.124752788192974418e-01
2.915334725227039847e+00 4.875993837960835853e-01 1.666107727849506759e+01 8.132997874134706429e-01
2.772411786386094867e+00 6.959937106494571424e-01 1.666485474627273433e+01 1.065967341026497595e+00
2.882271907163963309e+00 9.281080676753390435e-01 1.688864477142658060e+01 1.191921084585422452e+00
3.216737672448904739e+00 8.542077567964740936e-01 1.711891099698488716e+01 9.383346703934036803e-01
3.195458770807391158e+00 8.588153002365526145e-01 1.710420698958615660e+01 9.543912353448344987e-01
2.897656101242247928e+00 3.093413463267731256e-01 1.654364132286090694e+01 6.780324299590696491e-01
3.042098264066748214e+00 1.046818138772005025e+00 1.708768258885482894e+01 1.196447957014786567e+00
2.858497335723385380e+00 6.709790268707781502e-01 1.672065747330654517e+01 9.958067262569534339e-01
2.995726943932067066e+00 1.185038349515465939e+00 1.712970881401327716e+01 1.336050687603880460e+00
2.796669460896914039e+00 1.238275646957512688e+00 1.699801409775000494e+01 1.494526531503066691e+00
3.152754481303309930e+00 1.192455246694300364e+00 1.726215080052372386e+01 1.251364336485148332e+00
3.088447062251576281e+00 8.975855691049468010e-01 1.703927440712005392e+01 1.047870640833128864e+00
3.109834712333742424e+00 1.740633789862193304e+00 1.754389151440311423e+01 1.723554967375688696e+00
2.963948669825456683e+00 1.545661518357813957e+00 1.731216221761189189e+01 1.648732129532198831e+00
2.920370243901655449e+00 1.366664560761960301e+00 1.717316146941073995e+01 1.527828109606938600e+00
